year,month,total_trips,total_fare_amt,total_dist_amt,avg_fare,avg_distance,date,year_cat
2016,1,21677750,337748201.7226551,63228051.380001046,15.580408562819256,2.9167257386029934,2016-01,2016
2016,12,10378235,167748457.23131442,30181212.040000435,16.163486106386532,2.908125711163838,2016-12,2016
2016,11,10037069,165853101.46132052,29817956.19000004,16.52405711879838,2.9707832226718813,2016-11,2016
2016,10,10785267,178334497.64136744,32634878.42999981,16.535009994779678,3.0258758016838905,2016-10,2016
2016,8,9878632,161112928.0410074,30159914.86999998,16.3092347241002,3.0530456919541065,2016-08,2016
2016,7,10228032,167437736.111137,31368909.19000028,16.370474409068823,3.0669545412059995,2016-07,2016
2016,9,10049992,169455272.52112773,30983591.710000314,16.861234568259132,3.082946902843337,2016-09,2016
2016,5,23520316,390436860.16366494,72388754.25999966,16.59998361262089,3.0777118071032574,2016-05,2016
2016,4,23702376,382887929.4234718,70388042.94000106,16.153989347881065,2.9696618997184525,2016-04,2016
2016,3,24268048,387079681.6236839,72102483.24000095,15.950177847995189,2.9710870540556433,2016-03,2016
2016,2,22618062,351039142.7827818,64907225.27999973,15.520301552926231,2.8697076380814472,2016-02,2016
2016,6,22123168,368061724.2630826,67651827.06000057,16.63693573465982,3.057962903866235,2016-06,2016
2017,8,8361437,136449326.67054704,25485964.430000536,16.318884740810347,3.0480364116838454,2017-08,2017
2017,12,9444932,151999608.18096104,27013000.950000476,16.093245370211353,2.860052454586277,2017-12,2017
2017,11,9220508,151162635.66080597,26889325.85000013,16.39417650966801,2.916252103463294,2017-11,2017
2017,10,9699508,160463806.7509313,28951687.919999722,16.543499603374862,2.9848614919436867,2017-10,2017
2017,9,8881054,147398816.9808393,26807239.36000025,16.59699591747098,3.018474987315723,2017-09,2017
2017,7,8525315,139063169.56069317,25827938.919999976,16.311792533260434,3.0295583119216096,2017-07,2017
2017,3,10224806,165246051.77100986,29696583.560000286,16.161289688137835,2.9043664554613833,2017-03,2017
2017,5,10031909,166728141.84108266,30213226.360000223,16.61978212133729,3.0117125623847087,2017-05,2017
2017,4,9975475,161905713.68096754,29695306.010000177,16.2303763661347,2.9768312797135152,2017-04,2017
2017,2,9108434,141110244.99064562,25683411.260000337,15.492261896023578,2.819739513949416,2017-02,2017
2017,1,9648273,148142276.32098538,27322839.88000058,15.35427908403767,2.831889176436092,2017-01,2017
2017,6,9588521,158172900.49106574,28736452.15000031,16.496068631550763,2.9969639895454483,2017-06,2017
2018,8,7794681,127773669.5805614,23772119.000000063,16.392418057975867,3.049787284431533,2018-08,2018
2018,12,8127323,133929850.8104753,23862288.83000005,16.478962483769294,2.9360576453033858,2018-12,2018
2018,11,8091352,135537398.3805298,23943305.899999745,16.750896312572955,2.9591230118279053,2018-11,2018
2018,10,8759737,148130592.62080145,26461791.340000328,16.910392700237626,3.020843130336028,2018-10,2018
2018,9,7985932,134093632.91056162,24245360.770000108,16.79123149440311,3.036008917932197,2018-09,2018
2018,7,7790322,127286251.2104197,23559206.420000378,16.339023112320607,3.024163368343488,2018-07,2018
2018,3,9365006,148559031.93071958,27013983.31000002,15.863207341321466,2.88456657796055,2018-03,2018
2018,5,9161206,153275523.660819,27801353.00000008,16.730932986423294,3.0346826607763298,2018-05,2018
2018,4,9244130,150192775.0007704,27311861.969999727,16.247367248272187,2.954508641700163,2018-04,2018
2018,2,8437234,130124820.96030062,23522551.16000021,15.422687217197085,2.7879458078323074,2018-02,2018
2018,1,8701977,134259404.7703201,24373964.370000295,15.428609472344053,2.800968604031049,2018-01,2018
2018,6,8649855,143617228.84068888,26214731.360000215,16.603426166183002,3.0306555843999945,2018-06,2018
2019,12,6804446,132876830.70038755,20517907.12000016,19.527942568783345,3.0153677639590586,2019-12,2019
2019,11,6787514,131312880.63038701,20178241.41000025,19.34624085200959,2.9728471145695243,2019-11,2019
